2020_12_14_231708_10,,0,0,0,0,3.83047,0,3.8304,3.83044,3.83047,3.83048,3.83037,3.83042,3.83042,3.83044,3.83044,3.83037,3.83037,3.83036,3.74635,0,3.70857,0,0,0,0,0,0,0,0,0,0,0,0,0.824285,0,0,3.82428,3.82428,3.82428,0,0,0,0,0,0,0,0,0,0,0,4.25309,0.407816,,4
2020_12_14_231708_11,,0,0,0,0,3.98419,0,3.98409,3.98413,3.98426,3.98419,3.98413,3.98411,3.98411,3.98412,3.98412,3.98407,3.98407,3.98407,3.85221,0,3.01031,0,0,0,0,0,0,0,0,0,0,0,0.977981,2.97798,0,0,3.97798,3.97798,3.97798,0,0,0,0,0,0,0,0,0,0,0,4.07018,0.896445,,2
2020_12_14_231708_12,,0,0,0,0,0,0,3.02815,3.02815,3.02815,3.02814,3.02819,3.02815,3.02813,3.02808,3.02818,3.02811,3.02808,3.02802,2.84238,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02192,2.02192,0,0,3.02192,3.02192,3.02192,0,0,0,0,0,0,0,0,0,0,0,3.67604,1.31466,,3
2020_12_14_231708_13,,0,0,0,0,0,0,3.03724,3.03737,3.03735,3.03727,3.03713,3.03719,3.03718,3.03718,3.03717,3.03732,3.03731,3.03718,2.82626,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03115,2.03115,0,0,3.03115,3.03115,3.03115,0,0,0,0,0,0,0,0,0,0,0,3.14159,1.48353,,2
2020_12_14_231708_14,,0,0,0,0,2.16329,0,2.9268,2.92692,2.92691,2.92695,2.92677,2.92686,2.92687,2.92691,2.92696,2.92679,2.92681,2.92684,2.70972,0,2.72741,0,0,0,0,0,0,0,0,0,0,0,0.920773,1.92077,0,0,2.92077,2.92077,2.92077,0,0,0,0,0,0,0,0,0,0,0,2.60714,1.31466,,3
2020_12_14_231708_15,,0,0,0,0,2.04436,0,3.12819,3.12822,3.12819,3.12818,3.12824,3.12822,3.12819,3.12819,3.12819,3.12821,3.12818,3.12816,2.95539,0,3.0035,0,0,0,0,0,0,0,0,0,0,0,1.12206,2.12206,0,0,3.12206,3.12206,3.12206,0,0,0,0,0,0,0,0,0,0,0,2.21301,0.896445,,7
2020_12_14_231708_16,,0,0,0,0,3.48322,0,3.5307,3.5307,3.53076,3.5308,3.53067,3.53073,3.53078,3.5308,3.53082,3.53074,3.53078,3.53076,3.40736,0,2.38913,0,0,0,0,0,0,0,0,0,0,0,0.524652,2.52465,0,0,3.52465,3.52465,3.52465,0,0,0,0,0,0,0,0,0,0,0,2.0301,0.407816,,8
2020_12_14_232615_17,,0,0,0,0,0,0,0,4.04212,4.0421,4.04216,4.04205,4.04205,4.04166,4.04094,4.04011,4.03973,4.03918,3.95557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05023,2.05023,0,0,4.05023,4.05023,4.05023,0,0,0,0,0,0,0,0,0,0,0,3.14159,0.785398,,8
2020_12_14_232615_18,,0,0,0,0,0,0,4.03299,4.03302,4.03306,4.03317,4.03296,4.03297,4.03254,4.03185,4.03107,4.03066,4.03013,3.96647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04125,0,0,4.04124,4.04124,4.04124,0,0,0,0,0,0,0,0,0,0,0,3.14159,0.436332,,1
2020_12_14_232616_19,,0,0,0,0,0,0,4.08647,4.08653,4.08657,4.08664,4.08642,4.08646,4.08608,4.0854,4.08463,4.08416,4.08366,4.02025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09475,0,0,4.09474,4.09474,4.09474,0,0,0,0,0,0,0,0,0,0,0,3.59729,0.581803,,2
2020_12_14_232616_20,,0,0,0,0,0,0,4.44887,4.44894,4.44893,4.44899,4.44883,4.44889,4.44846,4.44775,4.44698,4.44654,4.44601,4.3627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45717,2.45717,0,0,4.45716,4.45716,4.45716,0,0,0,0,0,0,0,0,0,0,0,3.61696,0.844021,,3
2020_12_14_232616_21,,0,0,0,0,0,0,0,4.11975,4.11977,4.12,4.11969,4.11973,4.11932,4.11868,4.11785,4.11756,4.11705,4.01521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12808,2.12808,0,0,4.12807,4.12807,4.12807,0,0,0,0,0,0,0,0,0,0,0,3.42336,1.05474,,4
2020_12_14_232616_22,,0,0,0,0,0,0,0,4.09689,4.09687,4.09693,4.09682,4.09682,4.09639,4.09569,4.09486,4.09453,4.09398,3.99435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.105,2.105,0,0,4.105,4.105,4.105,0,0,0,0,0,0,0,0,0,0,0,3.14159,1.13446,,3
2020_12_14_232616_23,,0,0,0,0,0,0,0,3.96094,3.96106,3.96097,3.9609,3.96082,3.96047,3.95973,3.95896,3.95854,3.95801,3.8671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969195,1.96919,0,0,3.96919,3.96919,3.96919,0,0,0,0,0,0,0,0,0,0,0,2.85982,1.05474,,6
2020_12_14_232616_24,,0,0,0,0,0,0,4.02908,4.0291,4.02908,4.02911,4.02914,4.02906,4.02863,4.02787,4.02715,4.02672,4.02617,3.94154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03731,2.03731,0,0,4.03731,4.03731,4.03731,0,0,0,0,0,0,0,0,0,0,0,2.66623,0.844021,,1
2020_12_14_232616_25,,0,0,0,0,0,0,0,4.53324,4.53326,4.53331,4.5332,4.53324,4.53279,4.53207,4.53131,4.53088,4.53035,4.46234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541425,1.54142,0,0,4.54142,4.54142,4.54142,0,0,0,0,0,0,0,0,0,0,0,2.68589,0.581803,,8
2020_12_14_232616_26,,0,0,0,0,0,0,4.03932,4.03932,4.03935,4.03942,4.03932,4.03929,4.03886,4.03816,4.0374,4.03699,4.03646,4.00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04757,4.04757,4.04757,0,0,0,0,0,0,0,0,0,0,0,3.14159,0.0872664,,2
